,mag,place,time,updated,tz,url,detail,felt,cdi,mmi,alert,status,tsunami,sig,net,code,ids,sources,types,nst,dmin,rms,gap,magType,type,title
10,1.84000003,"7 km SSW of Volcano, Hawaii",1721950343700,1721950424200,,https://earthquake.usgs.gov/earthquakes/eventpage/hv74364711,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=hv74364711&format=geojson,,,,,automatic,0,52,hv,74364711,",hv74364711,",",hv,",",origin,phase-data,",9.0,0.008367,0.170000002,215.0,md,earthquake,"M 1.8 - 7 km SSW of Volcano, Hawaii"
11,1.87,"9 km SSE of Volcano, Hawaii",1721950304360,1721950463180,,https://earthquake.usgs.gov/earthquakes/eventpage/hv74364701,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=hv74364701&format=geojson,,,,,automatic,0,54,hv,74364701,",hv74364701,",",hv,",",origin,phase-data,",25.0,0.01663,0.230000004,123.0,ml,earthquake,"M 1.9 - 9 km SSE of Volcano, Hawaii"
12,1.01,"0 km W of Borrego Springs, CA",1721950252570,1721956533321,,https://earthquake.usgs.gov/earthquakes/eventpage/ci40671591,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci40671591&format=geojson,,,,,reviewed,0,16,ci,40671591,",ci40671591,",",ci,",",nearby-cities,origin,phase-data,scitech-link,",46.0,0.03285,0.22,42.0,ml,earthquake,"M 1.0 - 0 km W of Borrego Springs, CA"
13,1.0,"22 km S of Susitna North, Alaska",1721950156881,1721950294472,,https://earthquake.usgs.gov/earthquakes/eventpage/ak0249iq428k,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ak0249iq428k&format=geojson,,,,,automatic,0,15,ak,0249iq428k,",ak0249iq428k,",",ak,",",origin,phase-data,",,,1.49,,ml,earthquake,"M 1.0 - 22 km S of Susitna North, Alaska"
14,1.27,"2 km NW of The Geysers, CA",1721950058140,1721952563643,,https://earthquake.usgs.gov/earthquakes/eventpage/nc75039572,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc75039572&format=geojson,,,,,automatic,0,25,nc,75039572,",nc75039572,",",nc,",",nearby-cities,origin,phase-data,scitech-link,",6.0,0.01883,0.1,97.0,md,earthquake,"M 1.3 - 2 km NW of The Geysers, CA"
15,2.8,"6 km S of Volcano, Hawaii",1721950005540,1721960101040,,https://earthquake.usgs.gov/earthquakes/eventpage/hv74364686,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=hv74364686&format=geojson,,,,,reviewed,0,121,hv,74364686,",us6000ng10,hv74364686,",",us,hv,",",origin,phase-data,",29.0,0.006933,0.11,66.0,ml,earthquake,"M 2.8 - 6 km S of Volcano, Hawaii"
16,1.85,"7 km S of Volcano, Hawaii",1721949994340,1721958070510,,https://earthquake.usgs.gov/earthquakes/eventpage/hv74364691,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=hv74364691&format=geojson,,,,,reviewed,0,53,hv,74364691,",hv74364691,",",hv,",",origin,phase-data,",21.0,0.004986,0.09,71.0,ml,earthquake,"M 1.9 - 7 km S of Volcano, Hawaii"
17,2.18,"3 km SSW of Cobb, CA",1721949940100,1721963365843,,https://earthquake.usgs.gov/earthquakes/eventpage/nc75039557,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc75039557&format=geojson,,,,,automatic,0,73,nc,75039557,",nc75039557,",",nc,",",nearby-cities,origin,phase-data,scitech-link,",33.0,0.01532,0.07,56.0,md,earthquake,"M 2.2 - 3 km SSW of Cobb, CA"
18,1.14,"3 km SSW of Cobb, CA",1721949923230,1721962464750,,https://earthquake.usgs.gov/earthquakes/eventpage/nc75039552,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc75039552&format=geojson,,,,,automatic,0,20,nc,75039552,",nc75039552,",",nc,",",nearby-cities,origin,phase-data,scitech-link,",13.0,0.01538,0.02,103.0,md,earthquake,"M 1.1 - 3 km SSW of Cobb, CA"
19,2.17,"2 km SSW of Cobb, CA",1721949908380,1721950006686,,https://earthquake.usgs.gov/earthquakes/eventpage/nc75039542,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc75039542&format=geojson,,,,,automatic,0,72,nc,75039542,",nc75039542,",",nc,",",nearby-cities,origin,phase-data,",8.0,0.03893,0.02,186.0,md,earthquake,"M 2.2 - 2 km SSW of Cobb, CA"
20,2.38,"5 km W of Borrego Springs, CA",1721949861090,1721950518270,,https://earthquake.usgs.gov/earthquakes/eventpage/ci40671583,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci40671583&format=geojson,,,,,automatic,0,87,ci,40671583,",ci40671583,",",ci,",",focal-mechanism,nearby-cities,origin,phase-data,scitech-link,",92.0,0.01135,0.18,16.0,ml,earthquake,"M 2.4 - 5 km W of Borrego Springs, CA"
21,1.5,"3 km ESE of The Geysers, CA",1721949431460,1721957065120,,https://earthquake.usgs.gov/earthquakes/eventpage/nc75039522,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc75039522&format=geojson,,,,,automatic,0,35,nc,75039522,",nc75039522,",",nc,",",nearby-cities,origin,phase-data,scitech-link,",22.0,0.007754,0.04,68.0,md,earthquake,"M 1.5 - 3 km ESE of The Geysers, CA"
22,1.07,"11 km SW of Salton City, CA",1721949192350,1721949972019,,https://earthquake.usgs.gov/earthquakes/eventpage/ci40671567,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci40671567&format=geojson,,,,,automatic,0,18,ci,40671567,",ci40671567,",",ci,",",nearby-cities,origin,phase-data,scitech-link,",38.0,0.06483,0.23,91.0,ml,earthquake,"M 1.1 - 11 km SW of Salton City, CA"
23,1.70000005,"6 km SSW of Volcano, Hawaii",1721948900380,1721949001250,,https://earthquake.usgs.gov/earthquakes/eventpage/hv74364641,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=hv74364641&format=geojson,,,,,automatic,0,44,hv,74364641,",hv74364641,",",hv,",",origin,phase-data,",14.0,0.004659,0.189999998,89.0,md,earthquake,"M 1.7 - 6 km SSW of Volcano, Hawaii"
24,0.6,"15 km W of Four Mile Road, Alaska",1721948743737,1721948971153,,https://earthquake.usgs.gov/earthquakes/eventpage/ak0249ipyz39,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ak0249ipyz39&format=geojson,,,,,automatic,0,6,ak,0249ipyz39,",ak0249ipyz39,",",ak,",",origin,phase-data,",,,0.15,,ml,earthquake,"M 0.6 - 15 km W of Four Mile Road, Alaska"
25,2.75,"6 km S of Volcano, Hawaii",1721948704740,1721958363580,,https://earthquake.usgs.gov/earthquakes/eventpage/hv74364631,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=hv74364631&format=geojson,,,,,reviewed,0,116,hv,74364631,",hv74364631,",",hv,",",origin,phase-data,",27.0,0.01012,0.08,71.0,ml,earthquake,"M 2.8 - 6 km S of Volcano, Hawaii"
26,1.9,"34 km SE of Central, Alaska",1721948199346,1721948410369,,https://earthquake.usgs.gov/earthquakes/eventpage/ak0249ipogny,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ak0249ipogny&format=geojson,,,,,automatic,0,56,ak,0249ipogny,",ak0249ipogny,",",ak,",",origin,phase-data,",,,0.89,,ml,earthquake,"M 1.9 - 34 km SE of Central, Alaska"
27,1.99,"9 km SE of Volcano, Hawaii",1721948158670,1721948317170,,https://earthquake.usgs.gov/earthquakes/eventpage/hv74364611,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=hv74364611&format=geojson,,,,,automatic,0,61,hv,74364611,",hv74364611,",",hv,",",origin,phase-data,",17.0,0.005708,0.25,125.0,ml,earthquake,"M 2.0 - 9 km SE of Volcano, Hawaii"
28,4.2,"22 km WSW of Khairpur Nathan Shah, Pakistan",1721948125339,1721957826040,,https://earthquake.usgs.gov/earthquakes/eventpage/us6000nfz5,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us6000nfz5&format=geojson,,,,,reviewed,0,271,us,6000nfz5,",us6000nfz5,",",us,",",origin,phase-data,",49.0,8.259,0.82,207.0,mb,earthquake,"M 4.2 - 22 km WSW of Khairpur Nathan Shah, Pakistan"
29,-0.5,"19 km W of Akutan, Alaska",1721947975170,1722021188670,,https://earthquake.usgs.gov/earthquakes/eventpage/av93016529,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=av93016529&format=geojson,,,,,reviewed,0,0,av,93016529,",av93016529,",",av,",",origin,phase-data,",8.0,0.02256,0.18,252.0,ml,earthquake,"M -0.5 - 19 km W of Akutan, Alaska"
30,1.88,"5 km WSW of Volcano, Hawaii",1721947864530,1721948021660,,https://earthquake.usgs.gov/earthquakes/eventpage/hv74364596,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=hv74364596&format=geojson,,,,,automatic,0,54,hv,74364596,",hv74364596,",",hv,",",origin,phase-data,",11.0,0.01243,0.109999999,99.0,md,earthquake,"M 1.9 - 5 km WSW of Volcano, Hawaii"
31,1.81,"7 km SSW of Volcano, Hawaii",1721947767060,1721947926870,,https://earthquake.usgs.gov/earthquakes/eventpage/hv74364591,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=hv74364591&format=geojson,,,,,automatic,0,50,hv,74364591,",hv74364591,",",hv,",",origin,phase-data,",22.0,0.005482,0.230000004,81.0,ml,earthquake,"M 1.8 - 7 km SSW of Volcano, Hawaii"
32,1.82,"7 km S of Volcano, Hawaii",1721947731640,1721947889850,,https://earthquake.usgs.gov/earthquakes/eventpage/hv74364581,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=hv74364581&format=geojson,,,,,automatic,0,51,hv,74364581,",hv74364581,",",hv,",",origin,phase-data,",17.0,0.002903,0.119999997,127.0,ml,earthquake,"M 1.8 - 7 km S of Volcano, Hawaii"
33,1.1,"58 km WNW of Happy Valley, Alaska",1721947708013,1721947766032,,https://earthquake.usgs.gov/earthquakes/eventpage/ak0249ipmq29,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ak0249ipmq29&format=geojson,,,,,automatic,0,19,ak,0249ipmq29,",ak0249ipmq29,",",ak,",",origin,phase-data,",,,0.17,,ml,earthquake,"M 1.1 - 58 km WNW of Happy Valley, Alaska"
34,0.62,"8 km NW of The Geysers, CA",1721947644230,1721948837239,,https://earthquake.usgs.gov/earthquakes/eventpage/nc75039517,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc75039517&format=geojson,,,,,automatic,0,6,nc,75039517,",nc75039517,",",nc,",",nearby-cities,origin,phase-data,scitech-link,",11.0,0.009935,0.01,76.0,md,earthquake,"M 0.6 - 8 km NW of The Geysers, CA"
35,1.8,"56 km S of Whites City, New Mexico",1721947327897,1721998134390,,https://earthquake.usgs.gov/earthquakes/eventpage/tx2024ooco,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=tx2024ooco&format=geojson,,,,,reviewed,0,50,tx,2024ooco,",tx2024ooco,",",tx,",",origin,phase-data,",37.0,0.0,0.1,58.0,ml,earthquake,"M 1.8 - 56 km S of Whites City, New Mexico"
36,1.81,"7 km S of Volcano, Hawaii",1721946765540,1721946922540,,https://earthquake.usgs.gov/earthquakes/eventpage/hv74364546,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=hv74364546&format=geojson,,,,,automatic,0,50,hv,74364546,",hv74364546,",",hv,",",origin,phase-data,",21.0,0.005054,0.140000001,77.0,ml,earthquake,"M 1.8 - 7 km S of Volcano, Hawaii"
37,2.0,"25 km WNW of Hayfork, CA",1721946189710,1722025034965,,https://earthquake.usgs.gov/earthquakes/eventpage/nc75039507,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc75039507&format=geojson,,,,,reviewed,0,62,nc,75039507,",nc75039507,",",nc,",",focal-mechanism,nearby-cities,origin,phase-data,scitech-link,",35.0,0.1759,0.14,96.0,md,earthquake,"M 2.0 - 25 km WNW of Hayfork, CA"
38,0.46,"63 km ENE of Pedro Bay, Alaska",1721946125680,1722021697610,,https://earthquake.usgs.gov/earthquakes/eventpage/av93210761,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=av93210761&format=geojson,,,,,reviewed,0,3,av,93210761,",av93210761,",",av,",",origin,phase-data,",6.0,0.02671,0.08,105.0,ml,earthquake,"M 0.5 - 63 km ENE of Pedro Bay, Alaska"
39,-0.26,"62 km NE of Nikolski, Alaska",1721945799210,1722020722630,,https://earthquake.usgs.gov/earthquakes/eventpage/av93016524,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=av93016524&format=geojson,,,,,reviewed,0,0,av,93016524,",av93016524,",",av,",",origin,phase-data,",6.0,0.03438,0.24,308.0,ml,earthquake,"M -0.3 - 62 km NE of Nikolski, Alaska"
40,1.2,"36 km SE of Central, Alaska",1721945628223,1721945741542,,https://earthquake.usgs.gov/earthquakes/eventpage/ak0249ipf9k6,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ak0249ipf9k6&format=geojson,,,,,automatic,0,22,ak,0249ipf9k6,",ak0249ipf9k6,",",ak,",",origin,phase-data,",,,1.08,,ml,earthquake,"M 1.2 - 36 km SE of Central, Alaska"
41,1.78,"7 km SSE of Volcano, Hawaii",1721945628130,1721945786700,,https://earthquake.usgs.gov/earthquakes/eventpage/hv74364501,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=hv74364501&format=geojson,,,,,automatic,0,49,hv,74364501,",hv74364501,",",hv,",",origin,phase-data,",22.0,0.0008011,0.119999997,104.0,ml,earthquake,"M 1.8 - 7 km SSE of Volcano, Hawaii"
42,1.7,"11 km SSE of Volcano, Hawaii",1721945493640,1721945650830,,https://earthquake.usgs.gov/earthquakes/eventpage/hv74364496,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=hv74364496&format=geojson,,,,,automatic,0,44,hv,74364496,",hv74364496,",",hv,",",origin,phase-data,",12.0,0.03053,0.379999995,141.0,ml,earthquake,"M 1.7 - 11 km SSE of Volcano, Hawaii"
43,2.41,"3 km S of Pāhala, Hawaii",1721945328940,1721959132710,,https://earthquake.usgs.gov/earthquakes/eventpage/hv74364491,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=hv74364491&format=geojson,,,,,reviewed,0,89,hv,74364491,",hv74364491,",",hv,",",origin,phase-data,",14.0,0.02653,0.1,140.0,md,earthquake,"M 2.4 - 3 km S of Pāhala, Hawaii"
44,2.07,"7 km SSW of Volcano, Hawaii",1721945320590,1721945479130,,https://earthquake.usgs.gov/earthquakes/eventpage/hv74364481,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=hv74364481&format=geojson,,,,,automatic,0,66,hv,74364481,",hv74364481,",",hv,",",origin,phase-data,",17.0,0.009632,0.25999999,112.0,ml,earthquake,"M 2.1 - 7 km SSW of Volcano, Hawaii"
45,2.03,"8 km S of Volcano, Hawaii",1721945309990,1721945467450,,https://earthquake.usgs.gov/earthquakes/eventpage/hv74364476,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=hv74364476&format=geojson,,,,,automatic,0,63,hv,74364476,",hv74364476,",",hv,",",origin,phase-data,",11.0,0.01989,0.189999998,168.0,ml,earthquake,"M 2.0 - 8 km S of Volcano, Hawaii"
46,1.88,"5 km SSW of Volcano, Hawaii",1721945298880,1721945484360,,https://earthquake.usgs.gov/earthquakes/eventpage/hv74364486,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=hv74364486&format=geojson,,,,,automatic,0,54,hv,74364486,",hv74364486,",",hv,",",origin,phase-data,",12.0,0.005302,0.140000001,93.0,ml,earthquake,"M 1.9 - 5 km SSW of Volcano, Hawaii"
47,1.69,"18 km E of Toms Place, CA",1721944976430,1721955434937,,https://earthquake.usgs.gov/earthquakes/eventpage/nc75039502,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc75039502&format=geojson,,,,,automatic,0,44,nc,75039502,",nc75039502,",",nc,",",nearby-cities,origin,phase-data,scitech-link,",10.0,0.03387,0.02,149.0,md,earthquake,"M 1.7 - 18 km E of Toms Place, CA"
48,1.79,"6 km SSW of Volcano, Hawaii",1721944555040,1721944711720,,https://earthquake.usgs.gov/earthquakes/eventpage/hv74364446,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=hv74364446&format=geojson,,,,,automatic,0,49,hv,74364446,",hv74364446,",",hv,",",origin,phase-data,",15.0,0.005021,0.150000006,115.0,ml,earthquake,"M 1.8 - 6 km SSW of Volcano, Hawaii"
49,1.6,"33 km W of Mentone, Texas",1721944279593,1721994098865,,https://earthquake.usgs.gov/earthquakes/eventpage/tx2024ooaw,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=tx2024ooaw&format=geojson,,,,,reviewed,0,39,tx,2024ooaw,",tx2024ooaw,",",tx,",",origin,phase-data,",19.0,0.0,0.1,47.0,ml,earthquake,"M 1.6 - 33 km W of Mentone, Texas"
50,3.12,"6 km SSW of Volcano, Hawaii",1721943991190,1721954904040,,https://earthquake.usgs.gov/earthquakes/eventpage/hv74364426,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=hv74364426&format=geojson,,,,,reviewed,0,150,hv,74364426,",us6000nfyj,hv74364426,",",us,hv,",",origin,phase-data,",27.0,0.005378,0.1,69.0,ml,earthquake,"M 3.1 - 6 km SSW of Volcano, Hawaii"
51,2.31,"6 km SSW of Volcano, Hawaii",1721943966130,1721945203000,,https://earthquake.usgs.gov/earthquakes/eventpage/hv74364421,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=hv74364421&format=geojson,,,,,reviewed,0,82,hv,74364421,",hv74364421,",",hv,",",origin,phase-data,",21.0,0.0041,0.09,67.0,ml,earthquake,"M 2.3 - 6 km SSW of Volcano, Hawaii"
52,1.03,"2 km NW of The Geysers, CA",1721943937140,1721945969915,,https://earthquake.usgs.gov/earthquakes/eventpage/nc75039497,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc75039497&format=geojson,,,,,automatic,0,16,nc,75039497,",nc75039497,",",nc,",",nearby-cities,origin,phase-data,scitech-link,",18.0,0.007639,0.03,79.0,md,earthquake,"M 1.0 - 2 km NW of The Geysers, CA"
53,1.85000002,"7 km SSW of Volcano, Hawaii",1721943888120,1721943964160,,https://earthquake.usgs.gov/earthquakes/eventpage/hv74364411,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=hv74364411&format=geojson,,,,,automatic,0,53,hv,74364411,",hv74364411,",",hv,",",origin,phase-data,",8.0,0.007048,0.0900000036,158.0,md,earthquake,"M 1.9 - 7 km SSW of Volcano, Hawaii"
54,2.1,"74 km NE of Arctic Village, Alaska",1721943706568,1721943869062,,https://earthquake.usgs.gov/earthquakes/eventpage/ak0249ioztvk,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ak0249ioztvk&format=geojson,,,,,automatic,0,68,ak,0249ioztvk,",ak0249ioztvk,",",ak,",",origin,phase-data,",,,1.35,,ml,earthquake,"M 2.1 - 74 km NE of Arctic Village, Alaska"
55,2.29,"7 km S of Volcano, Hawaii",1721943508420,1721943667590,,https://earthquake.usgs.gov/earthquakes/eventpage/hv74364401,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=hv74364401&format=geojson,,,,,automatic,0,81,hv,74364401,",hv74364401,",",hv,",",origin,phase-data,",24.0,0.007209,0.330000013,63.0,ml,earthquake,"M 2.3 - 7 km S of Volcano, Hawaii"
56,2.03,"6 km SSW of Volcano, Hawaii",1721943415000,1721943573780,,https://earthquake.usgs.gov/earthquakes/eventpage/hv74364396,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=hv74364396&format=geojson,,,,,automatic,0,63,hv,74364396,",hv74364396,",",hv,",",origin,phase-data,",24.0,0.005881,0.209999993,44.0,ml,earthquake,"M 2.0 - 6 km SSW of Volcano, Hawaii"
57,4.8,"51 km ESE of Sarpol-e Z̄ahāb, Iran",1721943341334,1721998994910,,https://earthquake.usgs.gov/earthquakes/eventpage/us6000nfyf,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us6000nfyf&format=geojson,3.0,5.4,,,reviewed,0,356,us,6000nfyf,",us6000nfyf,usauto6000nfyf,",",us,usauto,",",dyfi,internal-moment-tensor,origin,phase-data,",88.0,0.949,0.68,48.0,mww,earthquake,"M 4.8 - 51 km ESE of Sarpol-e Z̄ahāb, Iran"
58,1.72,"7 km S of Volcano, Hawaii",1721943316650,1721943474000,,https://earthquake.usgs.gov/earthquakes/eventpage/hv74364386,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=hv74364386&format=geojson,,,,,automatic,0,46,hv,74364386,",hv74364386,",",hv,",",origin,phase-data,",12.0,0.01247,0.300000012,144.0,ml,earthquake,"M 1.7 - 7 km S of Volcano, Hawaii"
59,2.16,"8 km NNW of Bayview-Montalvin, CA",1721943086180,1721951363521,,https://earthquake.usgs.gov/earthquakes/eventpage/nc75039487,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc75039487&format=geojson,,,,,automatic,0,72,nc,75039487,",nc75039487,",",nc,",",nearby-cities,origin,phase-data,scitech-link,",26.0,0.05355,0.09,43.0,md,earthquake,"M 2.2 - 8 km NNW of Bayview-Montalvin, CA"
60,1.03,"8 km E of Alum Rock, CA",1721942536040,1722019038270,,https://earthquake.usgs.gov/earthquakes/eventpage/nc75039482,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc75039482&format=geojson,,,,,reviewed,0,16,nc,75039482,",nc75039482,",",nc,",",nearby-cities,origin,phase-data,scitech-link,",18.0,0.08072,0.08,53.0,md,earthquake,"M 1.0 - 8 km E of Alum Rock, CA"
61,2.08,"6 km SSW of Volcano, Hawaii",1721942272340,1721942430650,,https://earthquake.usgs.gov/earthquakes/eventpage/hv74364346,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=hv74364346&format=geojson,,,,,automatic,0,67,hv,74364346,",hv74364346,",",hv,",",origin,phase-data,",20.0,0.002924,0.140000001,75.0,ml,earthquake,"M 2.1 - 6 km SSW of Volcano, Hawaii"
62,1.78,"6 km SSW of Volcano, Hawaii",1721942201430,1721942362600,,https://earthquake.usgs.gov/earthquakes/eventpage/hv74364336,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=hv74364336&format=geojson,,,,,automatic,0,49,hv,74364336,",hv74364336,",",hv,",",origin,phase-data,",21.0,0.003019,0.209999993,76.0,ml,earthquake,"M 1.8 - 6 km SSW of Volcano, Hawaii"
63,0.0,"35 km WNW of Indian Springs, Nevada",1721942048781,1721945208333,,https://earthquake.usgs.gov/earthquakes/eventpage/nn00881502,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nn00881502&format=geojson,,,,,reviewed,0,0,nn,00881502,",nn00881502,",",nn,",",origin,phase-data,",18.0,0.05,0.0903,140.39,ml,earthquake,"M 0.0 - 35 km WNW of Indian Springs, Nevada"
64,1.53,"3 km NW of The Geysers, CA",1721941992050,1721950467426,,https://earthquake.usgs.gov/earthquakes/eventpage/nc75039477,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc75039477&format=geojson,,,,,automatic,0,36,nc,75039477,",nc75039477,",",nc,",",nearby-cities,origin,phase-data,scitech-link,",30.0,0.007753,0.05,78.0,md,earthquake,"M 1.5 - 3 km NW of The Geysers, CA"
